"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
208,13019,"Chilcuautla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de 50 cuartos dormitorio en los municipios de Ixmiquilpan, Chilcuautla y Santiago de Anaya","Chilcuautla","Botenguedho,Cerritos,El Mejay,El Mezquital,Huitexcalco de Morelos,Patria Nueva,San Nicolás,Santa Ana Batha,Santiago de Anaya,Tunititlán,Yolotepec",788686.704896609,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",200,NA,"Municipio_1",18909,135892,"botenguedho,cerritos,el mejay,el mezquital,huitexcalco de morelos,patria nueva,san nicolas,santa ana batha,santiago de anaya,tunititlan,yolotepec","Chilcuautla,Ixmiquilpan,Santiago de Anaya"
209,NA,"Cobertura Estatal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2023,"Ampliación del cuerpo existente mediante la construcción de un tercer carril del Km 59+562.82 al Km 65+000 en una longitud de 5.43 Km de la Carretera Pachuca - Huejutla, Tramo Cerro Colorado - Zacualtipán, en el Estado de Hidalgo","Cobertura Estatal","Cobertura Estatal",100645554.76,"1",NA,"DGCCE","Innovación 2024",5.43,"Considera los trabajos de terracerías, troncal y entronque.",42004,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
210,NA,"Cobertura Estatal",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2023,"Señalamiento Horizontal y Vertical 2023","Cobertura Estatal","Cobertura Estatal",12238266.03,"0.87",NA,"DGCCE","Innovación 2024",0,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Cobertura Estatal municipio de Cobertura Estatal",3082841,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
211,NA,"Cobertura Estatal",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2023,"Conservación de la Red Carretera Estatal 2023","Cobertura Estatal","Cobertura Estatal",51500000,"1",NA,"DGCCE","Innovación 2024",0,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Cobertura Estatal municipio de Cobertura Estatal",3082841,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
212,NA,"Cobertura Estatal","2024/A012","2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Espacios Públicos","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Equipamiento para Laboratorio de Calidad de la Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible.","Cobertura Estatal","Cobertura Estatal",2700000,"0",NA,"DGEP","Cartera SIPDUS 2024",NA,"Considera equipamiento en infraestructura del Espacio Pùblico.",297848,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
213,NA,"Cobertura Estatal","2024/A002","2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2024,"Conservación de Carreteras 2024.","Cobertura Estatal","Cobertura Estatal",6e+07,"0.8",NA,"DGCCE","Cartera SIPDUS 2024",0,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Cobertura Estatal municipio de Cobertura Estatal",2665018,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
214,NA,"Cobertura Estatal","2024/A004","2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2024,"Señalamiento (Horizontal y Vertical).","Cobertura Estatal","Cobertura Estatal",2e+07,"0.15",NA,"DGCCE","Cartera SIPDUS 2024",0,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Cobertura Estatal municipio de Cobertura Estatal",2665018,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
215,NA,"Cobertura Estatal","2024/A006","2do. Informe JMS","septiembre 2023-agosto 2024","Cobertura Estatal","Vialidades Urbanas","Vialidades Urbanas","Cobertura Estatal",2024,"Mejoramiento de Vialidades.","Cobertura Estatal","Cobertura Estatal",1e+07,"0",NA,"DGCCE","Cartera SIPDUS 2024",NA,"Considera los trabajos de la conservación rutinaria de la superficie de rodadura, las zonas laterales, las obras de drenaje y subdrenaje.",2665018,"91760 M3","Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
216,NA,"Cobertura Estatal","2024/C431","3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Infraestructura Deportiva","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Impermeabilización de Espacios Deportivos del Centro Deportivo Hidalguense y de Alto Rendimiento.","Cobertura Estatal","Cobertura Estatal",755441.87,"1",NA,"DGCCE","Externa SIPDUS",NA,"Considera trabajos en infraestructura deportiva en el municipio de Pachuca de Soto.",297848,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
217,NA,"Cobertura Estatal","2024/C423","3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Espacios Públicos","Espacios Públicos","Macrorregión 5. Ixmiquilpan",2024,"Programa de Campo Limpio.","Cobertura Estatal","Cobertura Estatal",951252.92,"0.65",NA,"DGCCE","Externa SIPDUS",NA,"Considera trabajos en infraestructura del Espacio Público en el colado de elementos estructurales del inmueble.",0,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
218,NA,"Cobertura Estatal","2024/C219","3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Vías de Comunicación","Infraestructura Carretera","Cobertura Estatal",2024,"Señaléticas y adecuaciones viales.","Cobertura Estatal","Cobertura Estatal",3390261.92,"1",NA,"DGCCE","Externa SIPDUS",18.81,"Considera los trabajos de colocación señáletica",2665018,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
219,NA,"Cobertura Estatal","2024/C709","3er. Informe JMS","septiembre 2024-agosto 2025","X Apan","Planta de tratamiento","Infraestructura Hídrica","Macrorregión 3. Tulancingo",2024,"Estudio y proyecto de reutilización del agua tratada para abastecer a la Zona Industrial de Emiliano Zapata (Región Altiplano).","Cobertura Estatal","Cobertura Estatal",978143,"0.532",NA,"DGEP","En proceso de validación",NA,"Considera los trabajos de estudios, proyecto conceptual y proyecto ejecutivo.",0,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
220,NA,"Cobertura Estatal","2024/C795","3er. Informe JMS","septiembre 2024-agosto 2025","VIII Ixmiquilpan","Infraestructura de Seguridad Pública","Espacios Públicos","Macrorregión 5. Ixmiquilpan",2024,"Proyecto Ejecutivo Cereso Tasquillo, en el municipio de Tasquillo.","Cobertura Estatal","Cobertura Estatal",11908799.92,"0.005",NA,"DGEP","Innovación 2024",NA,"Considera el Proyecto Ejecutivo Cereso en el municipio de Tasquillo.",0,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
221,NA,"Cobertura Estatal","2025/RP/INHIDE/SC/0001","3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Infraestructura Deportiva","Espacios Públicos","Macrorregión 1. Pachuca",2025,"Nuevo Centro Deportivo de Alto Rendimiento.","Cobertura Estatal","Cobertura Estatal",4.16e+08,"0",NA,"DGCCE","INNOVACIÓN 2025",NA,NA,2665018,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
222,NA,"Cobertura Estatal","2025/FGPAR-00145","3er. Informe JMS","septiembre 2024-agosto 2025","I Tula de Allende","Infraestructura hidroagrícola","Infraestructura Hídrica","Macrorregión 2. Tula",2025,"Adquisición de maquinaría, equipos y aditamentos para la tecnificación parcelaria de los distritos de riego 003-Tula, 100 Alfajayucan, 112-Ajacuba, del Estado de Hidalgo.","Cobertura Estatal","Cobertura Estatal",75669000,"0",NA,"DGEP","Nuevas 2025",NA,"Se contempla la instalación de bombas de manera parcial para el riego de&#10;algunas áreas que por deformaciones no permite que llegue el agua por&#10;gravedad.",153141,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
223,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Infraestructura Agrícola","Infraestructura Hídrica","Macrorregión 2. Tula",2025,"Adquisición de Vehículos Utilitarios para el Programa Nacional de Tecnificación de los Distritos de Riego DR-003 Tula, DR-100 Alfajayucan y DR-112 Ajacuba, en el Estado de Hidalgo.","Cobertura Estatal","Cobertura Estatal",9766818.13,"0",NA,"DGEP","INNOVACIÓN 2025",NA,NA,153141,NA,"Municipio_1",NA,0,"cobertura estatal","Cobertura Estatal"
224,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2025,"Programa de Conservación de Carreteras 2025","Cobertura Estatal","Varias",7e+07,"0",NA,"DGCCE","Cartera 2025 SIPDUS",NA,"Limpieza de superficie de rodamiento y retiro de maleza dentro del derecho de vía",NA,"14705.39 TON","Municipio_1",NA,0,"varias","Cobertura Estatal"
225,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Cobertura Estatal",2025,"Programa de señalamiento (horizontal y vertical)","Cobertura Estatal","Varias",2.5e+07,"0",NA,"DGCCE","Cartera 2025 SIPDUS",NA,"Aplicación de pintura para tráfico en rayas centrales",NA,"576.93 KMS","Municipio_1",NA,0,"varias","Cobertura Estatal"
226,NA,"Cobertura Estatal",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","Cobertura Estatal","Vialidades Urbanas","Vialidades Urbanas","Cobertura Estatal",2025,"Programa de Mejoramiento de Vialidades","Cobertura Estatal","Varias",16750488,"0",NA,"DGCCE","Cartera 2025 SIPDUS",NA,"Se realizan acciones de mantenimiento permanente de las principales vialidades de la zona metropolitana de Pachuca de Soto y Tulancingo de Bravo, mediante la limpieza general, mantenimiento de áreas verdes (poda y riego de auxilio y en sus laterales, desazolve de cunetas y alcantarillas pluviales, retiro de obstáculos, deshierbe, retiro o pepena de basura, recargue de taludes, rastrilleo del derecho de vía, reposición de guarniciones dañadas por accidentes viales, etc.",NA,"33321.6 M3","Municipio_1",NA,0,"varias","Cobertura Estatal"
227,13048,"Pachuca de Soto","2024/C299","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Ordenamiento Territorial","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Rehabilitación de la imagen urbana de la vialidad Pachuca - Actopan y Boulevard de acceso a la Concepción,           comunidad de Tilcuautla, en los municipios de Pachuca y San Agustín Tlaxiaca.","Pachuca de Soto","Varias",24130675.3424944,"0.8256",NA,"DGEP","Innovación OCTUBRE 2027",NA,"Considera trabajos en pintura de guarniciones, colocación de adoquín, sembrado de vegetación, rodetes para arboles y rampas.",297848,NA,"Municipio_1",314331,374665,"varias","Pachuca de Soto,San Agustín Tlaxiaca,Zapotlán de Juárez"
228,13007,"Almoloya","2024/C715","3er. Informe JMS","septiembre 2024-agosto 2025","X Apan","Agua Potable","Infraestructura Hídrica","Macrorregión 3. Tulancingo",2024,"Estudio y proyecto para la línea de conducción marginal, tramo Acopinalco - Ciudad Sahagún, incluye proyecto ejecutivo, estudio hidrológico, delimitación de zona federal para su ocupación, con base en el trámite CONAGUA-02-002, manifiesto de impacto ambiental y análisis costo beneficio.","Almoloya","Varias",173101.599474887,"0.515",NA,NA,"Cartera SIPDUS 2024 sin of. de auto.",NA,"Considera los trabajos de estudios, proyecto conceptual y proyecto ejecutivo.",0,NA,"Municipio_1",12546,141760,"varias","Almoloya,Apan,Emiliano Zapata,Tepeapulco,Tlanalapa"
237,13009,"El Arenal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de El Arenal","El Arenal","El Bocja, Ojo de Agua Santa Rosa",264761.62,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",8,NA,"Municipio_1",19836,19836,"el bocja, ojo de agua santa rosa","El Arenal"
245,13009,"El Arenal",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VII Actopan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2022,"Construcción de 38 cuartos dormitorio en los municipios de El Arenal y Pachuca de Soto","El Arenal","Barrio Cubitos,Barrio El Calvario,Bo. El Ojua,Cerro de Cubitos,Col. Adolfo Lopez Mateos,Colonia Anáhuac,Colonia la Raza,Colonia Monte Carmelo,Colonia Nueva Estrella,El Arenal Frutillal Alto,El Arenal Frutillal Bajo,El Palmar,La Capilla,San Antonio El Desmonte,Santiago Tlapacoya",216067.46061963,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",152,NA,"Municipio_1",19836,334167,"barrio cubitos,barrio el calvario,bo. el ojua,cerro de cubitos,col. adolfo lopez mateos,colonia anahuac,colonia la raza,colonia monte carmelo,colonia nueva estrella,el arenal frutillal alto,el arenal frutillal bajo,el palmar,la capilla,san antonio el desmonte,santiago tlapacoya","El Arenal,Pachuca de Soto"
258,13020,"Eloxochitlán","2024/C355","3er. Informe JMS","septiembre 2024-agosto 2025","IX Zacualtipán de Ángeles","Caminos Revestidos","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación De C.R. San Pedro Gilo - Almolón - San Juan Amajac - Camarones - Cieneguilla, municipio de Eloxochitlán","Eloxochitlán","Varias",20860000,"0.894",NA,"DGCCE","Cartera SIPDUS 2024 sin of. de auto.",25,"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Eloxochitlán",406,NA,"Municipio_1",2593,2593,"varias","Eloxochitlán"
275,13009,"El Arenal",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","III Pachuca de Soto","Agua Potable","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 6.3 mdp se llevó a cabo la reparación y mantenimiento de equipos de bombeo, para el abastecimiento de agua potable de los 15 municipios que presta el servicio CAASIM","El Arenal","Varias",153684.992282367,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera los trabajos de reparación y mantenimiento de equipos de bombeo en varias localidades del Estado.",524216,NA,"Municipio_5",19836,820832,"varias","El Arenal,Epazoyucan,Mineral de la Reforma,Mineral del Chico,Mineral del Monte,Omitlán de Juárez,Pachuca de Soto,San Agustín Tlaxiaca,Singuilucan,Tepeapulco,Tlanalapa,Tolcayuca,Villa de Tezontepec,Zapotlán de Juárez,Zempoala"
276,NA,"Cobertura Estatal","2024/C177","2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 2. Tula",2024,"Actualización de Estudio y Proyecto de la Carretera Eje Transversal Actopan - Atotonilco el Grande","Cobertura Estatal","Varias",3296667.68,"0.9899",NA,"DGEP","Cartera SIPDUS 2024",NA,"Considera los trabajos de estudios, proyecto conceptual y proyecto ejecutivo.",0,"1 estudio","Municipio_1",NA,0,"varias","Cobertura Estatal"
277,13023,"Francisco I. Madero",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","VII Actopan","Saneamiento","Infraestructura Hídrica","Macrorregión 2. Tula",2025,"Sustitución de acueducto de concreto armado de 18 "" en el municipio de Francisco I. Madero","Francisco I. Madero","Francisco I Madero",1.5e+07,"0",NA,"SIPDUS","Rutas de la transformación",NA,NA,NA,NA,"Municipio_1",36248,36248,"francisco i madero","Francisco I. Madero"
278,13023,"Francisco I. Madero",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","VII Actopan","Líneas de distribución","Infraestructura Hídrica","Macrorregión 2. Tula",2025,"Rehabilitación de línea de distribución en calle Corregidora de III Demarcación, en el municipio de Francisco I. Madero","Francisco I. Madero","Francisco I Madero",1277845.29,"0",NA,"SIPDUS","Rutas de la transformación",NA,NA,NA,NA,"Municipio_1",36248,36248,"francisco i madero","Francisco I. Madero"
284,13023,"Francisco I. Madero",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VII Actopan","Líneas de distribución","Infraestructura Hídrica","Macrorregión 2. Tula",2022,"Inversion de 224,875 pesos en la rehabilitación de la línea de conducción de agua potable, Col. Los Filtros, municipio de Francisco I, Madero","Francisco I. Madero","Francisco I. Madero",224875.85,"1",1300,"CAASVAM","OBRAS SEP 2022 - JUNIO 2023",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",NA,NA,"Municipio_1",36248,36248,"francisco i. madero","Francisco I. Madero"
308,13025,"Huautla",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2024,"Construcción de cuartos dormitorios en el municipio de Huautla","Huautla","Ahuatitla, Banderas, Chalacuaco, Chipila, Terrero, Zacatipa",3135439.06,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",84,NA,"Municipio_1",20673,20673,"ahuatitla, banderas, chalacuaco, chipila, terrero, zacatipa","Huautla"
322,13025,"Huautla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de Cuarto Dormitorio, en el municipio de Huautla","Huautla","Varias",2751830.5,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",108,NA,"Municipio_1",20673,20673,"varias","Huautla"
323,13025,"Huautla","2024/C623","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Caminos Revestidos","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino el Ixtle a El Lindero a Coatempa, del km 0.000 al km 12.000, en el municipio de Huautla.","Huautla","Varias",8451903.32,"0.56",NA,"DGCCE","Cartera SIPDUS 2024",12,"Considera los trabajos de preliminares, revestimiento de camino en el municipio de Huautla",772,NA,"Municipio_1",20673,20673,"varias","Huautla"
